company source no,filename,facility name,st addr, city addr, zip addr
10-0078,100078-1Ro,Roseburg Forest Products Riddle Plywood,3064 Cow Creek Road,Riddle,97469
36-8010,368010-1Ha,Hampton Lumber Mills Inc. dba Willamina Lumber Company,1000 Willamina Creek Drive,Willamina,97396
05-2085,052085Arms,Armstrong World Industries,1645 Railroad Avenue,St. Helens,97051
02-9502,029502Vall,Valley Landfills Inc.,28972 Coffin Butte Road,Corvallis,97330
03-2729,032729Nort,Oregon City Compressor Station,13124 Springwater Road South,Oregon City    ,97045
24-0114,240114-1MB,M-B COMPANIES INC.,2490 Ewald Ave. SE,Salem,97302
26-3310,263310Metr,Metropolitan Service District. Saint Johns Landfill,9687 N. Columbia Blvd.,Portland,97220
18-0022,180022Elec,Electro Scientific Industries ,4700 ESI Way ,Klamath Falls ,97601
19-0002,19-0002_Co,Lakeview Sawmill,1600 Missouri Avenue,Lakeview,97630
22-6002,226002Frer,Freres Lunber Co. Inc. Lyons Facility,141 14th St.,Lyons,97358
17-0030,17-0030_TP,TP Grants Pass LLC,1090 SE M Street,Grants Pass,97526
03-0099,030099Port,Carver Readiness Center,16782 SE 130th Ave,Clackamas,97015-8966
09-9508,099508Sute,Suterra LLC,20950 Talus Place,Bend OR,97701
09-0022,090022PCCS,PCC Structurals Inc. Schlosser,345 NE Hemlock Ave.,Redmond,97756
34-0055,340055Qorv,Qorvo US,2300 NE Brookwood Parkway,Hillsboro,97124
03-0009,030009Atla,Atlas Industrial Coatings Inc.  DBA A.I.C. Inc.,17555 SW 63rd Ave ,Lake Oswego,97035
26-2197,262197Daim,Daimler Trucks North America LLC,6936 N Fathom Street,Portland,97217
24-9201,249201-3No,McMinnville Compressor Station,6302 Torvend Road NE,Silverton,97381
29-0004,290004Till,Tillamook County Creamery Association,4185 Highway 101 N,Tillamook,97141
22-0042,220042Isov,Isovolta Inc.,495 Territorial Street,Harrisburg,97446
34-2804,34-2804_Ma,Maxim Integrated ,14320 SW Jenkins Road,Beaverton,97005
26-1815,261815Owen,Owens Corning Roofing & Asphalt LLC,3750 NW Yeon Avenue,Portland,97210
26-2000,26-2000_Lo,Louis Dreyfus Company Northwest Facilities LLC,900 North Thunderbird Way,Portland,97227
07-0001,070001Cont,Contact Industries LLC,1155 N. Main     PO Box 309,Prineville OR,97754
26-0143,260143Pier,Pierce Pacific Manufacturing Inc.,4424 NE 158th Avenue,Portland,97230
10-0012,100012Doug,Douglas County Inc. DBA Douglas County Forest Products,398 Del Rio Rd.,Rosebur,97471
26-0100,260100City,Columbia Boulevard WWTP,5001 N. Columbia Boulevard,Portland,97203
03-2778,032778-1Mi,Miles Fiberglass & Plastics Inc.,8855 SE Otty Road,Happy Valley,97086
26-2944,262944-2Gu,Gunderson LLC.,4350 NW Front Avenue,Portland,97210
25-0038,25-0038_Ti,Tidewater Terminal Company - Boardman Biofuels Dock,71987 Lewis & Clark Dr,Boardman,97818
10-0030,100030Swan,Swanson Group Mfg. LLC Roseburg Stud Division,2635 Old Highway 99 South,Roseburg Oregon,97470
27-0001,270001Marq,Marquis Spas Corporation,596 Hoffman Rd.,Independence,97351
26-2204,262204Boei,The Boeing Company,19000 NE Sandy Boulevard,Gresham,97230
15-0005,150005Casc,Cascade Wood Products,8399 14th Street,White City,97503
22-0010,220010Wast,Wastequip Manufacturing Company LLC Dba Wastequip Oregon ,33710 Oakville Road,Albany,97321
26-3002,263002Silt,Siltronic Corporation,7200 NW Front Ave,Portland,97210
09-9557,099557Biog,Biogreen Sustainable Energy Co.,116855 Reed Road,La Pine,97739
05-2598,052598Ener,Miller Compressor Station,10.5 mile Columbia River Main Line,Mist,97016
26-1814,261814Sole,Solenis LLC,3366 NW Yeon Ave,Portland,97210
30-0118,300118Herm,Hermiston Power LLC,78910 Simplot Road,Hermiston Power LLC,97838
03-2631,032631Eagl,Eagle Foundry Co.,23123 SE Eagle Creek Road PO Box 250,Eagle Creek,97022
26-3311,263311Canr,Supreme Group,4600 NE 138th Avenue,Portland,97230
10-0033,100033-1Or,Orenco Systems Inc.,814 Airway Ave.,Sutherlin,97479
31-0006,310006Bois,Boise Cascade Wood Products L.L.C. Elgin Complex,90 South 21st Street,Elgin,97827
11-0002,110002Chem,Chemical Waste Management of the Northwest Inc.,17629 Cedar Springs Lane,Arlington,97812
03-2624,032624-2Or,Blount Inc.,4909 SE International Way,Milwaukie,97222
30-0016,300016Bois,Boise Cascade Wood Products L.L.C. Kinzua Lumber,600 NW Cedar St.,Pilot Rock,97868
05-2581,052581Nort,NW Natural - Miller Station,off private logging road northwest of Mist OR,Mist,not applicable
22-8050,228050Stah,Stahlbush Island Farms Inc.,3122 Stahlbush Island Rd.,Corvallis OR,97333
18-0072,180072GasT,Gas Transmission Northwest LLC Compressor Station #14,Harpold Valley Road 3 miles south of Bonanza,Bonanza,97623
26-1865,261865EVRA,EVRAZ Portland - Heat Treat,10400 N Swift Court,Portland,97203
26-2029,262029-1Sh,Shore Terminals LLC,9420 NW St. Helens Road,Portland,97231
03-0052,030052Pesz,Pesznecker Brothers Inc.,15500 SE 102nd Ave ,Clackamas,97015
05-0006,050006-1Ca,Columbia Pacific Bio-Refinery,81200 Kallunki Road,Clatskanie,97016
26-0146,260146AshG,Ash Grove Cement Company - Portland Terminal,3737 N. Port Center Way,Portland,97217
25-0036,250036Colu,Columbia River Processing Inc.,79588 Rippee Road,Boardman,97818
34-0004,340004Hill,Hillsboro Landfill,3205 SE Minter Bridge Road,Hillsboro ,97123
26-3110,263110QGPr,QG Printing II LLC,6031 NE 92nd Dr,Portland,97220
26-2832,262832Port,Portland State University,1900 SW Fourth Avenue,Portland  ,97207
33-0022,330022-1DE,Design LLC,4200 Columbia Road,The Dalles,97058
15-0073,150073Rose,Roseburg Forest Products Medford MDF,2865 N. Pacific Hwy,Medford,97501
30-0113,300113-1He,Hermiston Generating Plant L.P.,78145 Westland Road,Hermiston,97838
33-0007,330007Wasc,Wasco County Landfill,2550 Steele Rd,The Dalles,97058
11-0001,110001-1Wa,Columbia Ridge Landfill and Recycling Center,18177 Cedar Springs Landfill and Recycling Center,Arlington,97812
24-0025,240025Capi,Capital Chrome and Precision Grinding,1520 Hickory St NE,Salem,97301
15-0159,150159Biom,Biomass One L.P.,2350 Avenue G,White City Oregon,97503
22-1024,221024-1Ge,Georgia-Pacific Chemicals LLC - Albany,2190 Old Salem Rd NE,Albany,97321
03-2719,032719Geor,Georgia-Pacific Gypsum LLC,505 NE 3rd Avenue,Canby,97103
26-2968,262968Mond,Mondelez Global LLC,100 NE Columbia Blvd,Portland,97211-1416
34-2565,342565Hamp,Hampton Lumber Mills Inc. dba Banks Lumber Company,13620 NW Commerce Street,Banks,97106
26-3317,263317Silv,Silver Eagle Manufacturing Company,5825 NE Skyport Way ,Portland,97220
18-0089,180089JELD,JELD-WEN Inc. dba JELD-WEN,31725 Highway 97 Suite A,Chiloquin,97624-9702
31-0028,310028-1He,Hexion Inc.,62575 Oregon Hwy 82,Island City,97850
37-0611,370611Acme,Acme Concrete Paving Inc,4124 E Broadway,Spokane ,99202
22-6034,226034Geor,Georgia-Pacific Consumer Products LP - Halsey Mill,30470 American drive,Halsey,97348
24-0060,240060Kett,Snyder's Lance Inc.,3125 Kettle Ct. SE,Salem,97301
26-1885,261885Galv,Galvanizers Company,2406 NW 30th Avenue,Portland,97210
24-5155,24-5155_Or,Oregon State Penitentiary,2605 State Street,Salem,97310
34-2783,342783Bimb,Bimbo Bakeries USA Inc.,10750 SW 5th Street,Beaverton,97005
07-0013,07-0013_Bi,Biosphere Carbon Group LLC,3920 NW Lamonta Road,Prineville,97754
36-8031,368031Bois,Boise Cascade - Willamina Veneer,34160 SW Valley Highway,Willamina OR,97396
34-0149,340149Port,Avery Regional Service Center,10800 SW Avery St,Tualatin,97062-8585
26-2478,26-2478_Eq,Shell Portland Terminal,3800 NW St. Helens Road,Portland,97210
09-0084,090084GasT,Gas Transmission Northwest LLC Compressor Station #12,U.S. 97 19 miles south of Bend Oregon,Bend,97702
24-0125,240125TTCT,The Trading Company,2785 N. Front St.,Woodburn,97071
26-3035,263035Myer,Myers Container LLC,8435 NE Killingsworth,Portland,97220
24-0148,24-0148_Co,Columbia Helicopters,14452 Arndt rd,Aurora,97002
15-0026,150026-1Dr,Dry Creek Landfill,6260 Dry Creek Road,Eagle Point OR,97524
22-6029,22-6029_Pa,Panolam Industries Inc.,3030 Calapooia Street SW,Albany,97321
03-2754,032754Albe,Safeway Clackamas Bread Plant,9450 SE Mangan Dr,Clackamas Or,97015
24-8082,248082-1En,Ennis Paint Inc. DBA Ennis Traffic Safety Solutions,1675 Commercial Street NE,Salem,97301
10-0054,100054Emer,Emerald Forest Products Plant #4,649 Fir Street,Drain,97435
22-0328,220328-1Or,Oregon Metallurgical LLC dba ATI Albany Operations,530 34th Ave SW,Albany,97322
19-0001,190001-2Co,Cornerstone Industrial Minerals Corporation U.S.A.,PO Box 1287,Lakeview OR,97630
24-0104,240104West,Western Industrial Fabricator & Machinist,23019 Main St NE,St. Paul,97317
02-2173,02-2173_Ho,Hollingsworth & Vose Fiber Company,1551 SE Crystal Lake Drive (Plant 1); 1220 SE Crystal Lake Drive (Plant 2),Corvallis,97339
15-0222,150222Bois,Boise Cascade - Engineered Wood Products,1155 Antelope Road,White City OR,97503
26-3021,263021-1Am,American Petroleum Environmental Services,11535 N Force Ave,Portland,97217
26-3230,263230Laca,Lacamas Laboratories,3625 N Suttle Rd,Portland,97217
03-0050,030050Xero,Xerox,26600 SW Parkway Avenue Suite #200,Wilsonville,97070
