"Facility Type","Site Name","Address","City","lat","lon","key","url","in_airport"
"Airport","APPLE VALLEY Airport","Unknown","BUXTON",45.6784,-123.1862,"Airport_APPLE_VALLEY","www.portlandcleanair.org/files/detailed_co_info/Airport_APPLE_VALLEY",1
"Airport","MUDDY CREEK Airport","Unknown","HAINES",44.9401,-118.0119,"Airport_MUDDY_CREEK","www.portlandcleanair.org/files/detailed_co_info/Airport_MUDDY_CREEK",1
"Airport","CRESCENT LAKE STATE Airport","Unknown","CRESCENT LAKE",43.5326,-121.95,"Airport_CRESCENT_LAKE_STATE","www.portlandcleanair.org/files/detailed_co_info/Airport_CRESCENT_LAKE_STATE",1
"Airport","WALKER Airport","Unknown","CRESWELL",43.8687,-123.034,"Airport_WALKER","www.portlandcleanair.org/files/detailed_co_info/Airport_WALKER",1
"Airport","CROW-MAG Airport","Unknown","ELMIRA",44.0637,-123.3915,"Airport_CROW-MAG","www.portlandcleanair.org/files/detailed_co_info/Airport_CROW-MAG",1
"Airport","PROPST Airport","Unknown","ALBANY",44.6387,-123.0234,"Airport_PROPST","www.portlandcleanair.org/files/detailed_co_info/Airport_PROPST",1
"Airport","BURRILL Airport","Unknown","MEDFORD",42.4387,-122.8637,"Airport_BURRILL","www.portlandcleanair.org/files/detailed_co_info/Airport_BURRILL",1
"Airport","BEAVER OAKS Airport","Unknown","ESTACADA",45.304,-122.3609,"Airport_BEAVER_OAKS","www.portlandcleanair.org/files/detailed_co_info/Airport_BEAVER_OAKS",1
"Airport","LEHMAN FIELD Airport","Unknown","CORBETT",45.4857,-122.234,"Airport_LEHMAN_FIELD","www.portlandcleanair.org/files/detailed_co_info/Airport_LEHMAN_FIELD",1
"Airport","THE GREEN TREES RANCH Airport","Unknown","SCIO",44.6832,-122.7829,"Airport_THE_GREEN_TREES_RANCH","www.portlandcleanair.org/files/detailed_co_info/Airport_THE_GREEN_TREES_RANCH",1
"Airport","HATCH Airport","Unknown","STAYTON",44.7732,-122.8501,"Airport_HATCH","www.portlandcleanair.org/files/detailed_co_info/Airport_HATCH",1
"Airport","FLYING K RANCH Airport","Unknown","BEAVERTON",45.4345,-122.88,"Airport_FLYING_K_RANCH","www.portlandcleanair.org/files/detailed_co_info/Airport_FLYING_K_RANCH",1
"Airport","LUSARDI FIELD Airport","Unknown","SALEM",44.9854,-122.9462,"Airport_LUSARDI_FIELD","www.portlandcleanair.org/files/detailed_co_info/Airport_LUSARDI_FIELD",1
"Airport","HARCHENKO INDUSTRIAL Airport","Unknown","BROOKS",45.0776,-122.929,"Airport_HARCHENKO_INDUSTRIAL","www.portlandcleanair.org/files/detailed_co_info/Airport_HARCHENKO_INDUSTRIAL",1
"Airport","CLINE FALLS AIR PARK Airport","Unknown","REDMOND",44.2832,-121.2692,"Airport_CLINE_FALLS_AIR_PARK","www.portlandcleanair.org/files/detailed_co_info/Airport_CLINE_FALLS_AIR_PARK",1
"Airport","PINE HOLLOW Airport","Unknown","WAMIC",45.2548,-121.2937,"Airport_PINE_HOLLOW","www.portlandcleanair.org/files/detailed_co_info/Airport_PINE_HOLLOW",1
"Airport","MEYER RIVERSIDE AIRPARK Airport","Unknown","TIGARD",45.3998,-122.829,"Airport_MEYER_RIVERSIDE_AIRPARK","www.portlandcleanair.org/files/detailed_co_info/Airport_MEYER_RIVERSIDE_AIRPARK",1
"Airport","AUBERGE DES FLEURS Airport","Unknown","SANDY",45.4498,-122.2543,"Airport_AUBERGE_DES_FLEURS","www.portlandcleanair.org/files/detailed_co_info/Airport_AUBERGE_DES_FLEURS",1
"Airport","RIEBEN Airport","Unknown","BANKS",45.6103,-123.08,"Airport_RIEBEN","www.portlandcleanair.org/files/detailed_co_info/Airport_RIEBEN",1
"Airport","CHADWICK Airport","Unknown","BANKS",45.6332,-123.1679,"Airport_CHADWICK","www.portlandcleanair.org/files/detailed_co_info/Airport_CHADWICK",1
"Airport","HARVEY S ACRES Airport","Unknown","BEAVERTON",45.4415,-122.8929,"Airport_HARVEY_S_ACRES","www.portlandcleanair.org/files/detailed_co_info/Airport_HARVEY_S_ACRES",1
"Airport","GILBERT Airport","Unknown","NORTH PLAINS",45.6489,-123.0394,"Airport_GILBERT","www.portlandcleanair.org/files/detailed_co_info/Airport_GILBERT",1
"Airport","PILOT BUTTE Airport","Unknown","BEND",44.0473,-121.2756,"Airport_PILOT_BUTTE","www.portlandcleanair.org/files/detailed_co_info/Airport_PILOT_BUTTE",1
"Airport","STRAUCH FIELD Airport","Unknown","JUNCTION CITY",44.1883,-123.1894,"Airport_STRAUCH_FIELD","www.portlandcleanair.org/files/detailed_co_info/Airport_STRAUCH_FIELD",1
"Airport","NIELSEN Airport","Unknown","OREGON CITY",45.3443,-122.5179,"Airport_NIELSEN","www.portlandcleanair.org/files/detailed_co_info/Airport_NIELSEN",1
"Airport","MC KINNON AIRPARK Airport","Unknown","SANDY",45.4307,-122.242,"Airport_MC_KINNON_AIRPARK","www.portlandcleanair.org/files/detailed_co_info/Airport_MC_KINNON_AIRPARK",1
"Airport","GILMOUR AG AIR Airport","Unknown","JEFFERSON",44.7554,-123.047,"Airport_GILMOUR_AG_AIR","www.portlandcleanair.org/files/detailed_co_info/Airport_GILMOUR_AG_AIR",1
"Airport","JASPER RIDGE AIRSTRIP Airport","Unknown","SPRINGFIELD/JASPER",44.0033,-122.88,"Airport_JASPER_RIDGE_AIRSTRIP","www.portlandcleanair.org/files/detailed_co_info/Airport_JASPER_RIDGE_AIRSTRIP",1
"Airport","GREER Airport","Unknown","COBURG",44.1959,-123.0731,"Airport_GREER","www.portlandcleanair.org/files/detailed_co_info/Airport_GREER",1
"Airport","FIREFLY RANCH AIRFIELD Airport","Unknown","WHITE CITY",42.5112,-122.9242,"Airport_FIREFLY_RANCH_AIRFIELD","www.portlandcleanair.org/files/detailed_co_info/Airport_FIREFLY_RANCH_AIRFIELD",1
"Airport","WARNER S Airport","Unknown","REDLAND",45.325,-122.4242,"Airport_WARNER_S","www.portlandcleanair.org/files/detailed_co_info/Airport_WARNER_S",1
"Airport","SCHMIDT Airport","Unknown","BORING",45.4529,-122.3211,"Airport_SCHMIDT","www.portlandcleanair.org/files/detailed_co_info/Airport_SCHMIDT",1
