00151	7977	Boiler	Hot Water Heater
00160	7977	Corvallis RMC 02-2125	Transit mixed concrete cubic yards
00161	7977	Corvallis RMC PFU	Plant Fuel Use - Hot water
00174	5069	RF_CFU	Rotary Fine (CFU)	--
00175	5069	RC_SCR	Rotary Coarse (Wet Scrubber)	--
00176	5069	URC_SCR	Ultra Rotary Coarse (Wet Scrubber)	--
00177	5069	FB_CFU	Flameblown (CFU)	--
00178	5069	GM_SCR	Glass Melt (Wet Scrubber)	--
00179	5069	NATGAS	Total Natural Gas Combustion	--
00180	5069	Energy Center Boilers Natural Gas	Boiler Natural Gas	NA
00181	5069	Corvallis Campus Building Boilers	Boiler Natural Gas	NA
00182	5069	Energy Center Boilers Diesel #2	Boiler Diesel #2	NA
00183	5069	Engine > 600 HP Diesel #2	Engine >600 HP Diesel #2	NA
00184	5069	Engine < 600 HP Diesel #2	Engine < 600 HP Diesel #2	NA
00185	5069	Energy Center CTG/HRSG Natural Gas	Turbine Natural Gas	NA
00186	5069	Energy Center CTG Diesel #2	Turbine Diesel #2	NA
00187	5069	Animal Crematory Natural Gas	Animal Crematory Natural Gas	2810060200
00188	5069	Boiler	NA	NA
00189	5069	Kilns - Hemlock	NA	NA
00190	5069	Kilns - Douglas Fir	NA	NA
00200	5069	F-LFG1	fugitie landfill gas generated in cell 0	50410563
00201	5069	F-LFG2	fugitive landfill gas generated in all other cells	50410563
00202	5069	Open Flare-1	landfill gas collected and sent to the flare	50100410
00203	5069	Open Flare-2	landfill gas collected and sent to the flare	50100410
00204	5069	TIP	number of hours tipper operated	50100410
00205	5069	PCS	Petroleum contaminated soil received	50410563
00206	5069	EU1	Caterpillar 3516 Landfill Gas Engines 1 - 3	20100802
00207	5069	EU2	Caterpillar 3520 Landfill Gas Engines 4 - 5	20100802
00208	7977	CONC	Concrete Production
00209	7977	BLRS	Boiler
00210	7977	COAT	Concrete Coating
00211	7977	WELD	Rebar Welding
00214	5069	Boards Dept / Welding (GMAW)-1	Stainless Welding	30905800
00215	5069	Boards Dept / Welding(FCAW)-2	Mild Steel	309053
00216	5069	Boards Dept / Welding-(GMAW) 3	Aluminum Boards	30905200
00217	5069	Boards Dept / Welding (GMAW)-4	Mild Steel	30905200
00218	5069	Rails / Welding (GMAW)	Mild Steel	30905200
00219	5069	Boards Department	Finishing Area	none
00220	5069	Mechanized/Non-atomized	Styrene	NA
00221	5069	Manual/hand	Styrene	NA
00222	5069	Gelcoat	Styrene	NA
00223	5069	Resin RTM	Styrene	NA
00241	7977	Concrete Batchplant	Cubic yard batched
00242	7977	Hot Water Heater	Boiler (3.8 MBTU)
00248	5069	Boiler 1	Digester Boiler	NA
00249	5069	Boiler 1	Natural Gas	NA
00250	5069	Flare 1	Digester Flare	NA
00251	5069	Gen Engine 1	Digester Engine	NA
00252	5069	Process Flow	Water Treatment Process Flow	NA
00256	5069	Boiler 1	Digester Boiler	NA
00257	5069	Boiler 1	Natural Gas	NA
00258	5069	Flare 1	Digester Flare	NA
00259	5069	Gen Engine 1	Digester Engine	NA
00260	5069	Gen Engine 2	Diesel Engine	NA
00261	5069	Process Flow	Water Treatment Process Flow	NA
