00278	Vacuum Casting, Steel Parts	Vacuum Casting	30405001	9303
00279	Vacuum Casting, Titanium Parts	Vacuum Casting	30405001	9303
00280	Steel Baghouses, without HEPA	Baghouses	30405001	9303
00281	Steel Baghouses, with HEPA	Baghouses	30405001	9303
00282	Titanium Baghouses, without HEPA	Baghouses	30405001	9303
00283	Titanium Baghouses, with HEPA	Baghouses	30405001	9303
00284	Fugitive, Steel	Fugitive	30488801	9303
00285	Fugitive, Titanium	Fugitive	30488801	9303
00286	Autoclave	Autoclave	30405001	9303
00287	Wax Burnout, Wax Component, with Thermal Oxidation	Wax Burnout	30404901	9303
00288	Wax Burnout, Non-Wax Component with Thermal Oxidation	Wax Burnout	30404901	9303
00289	Latex, with Thermal Oxidation	Latex	30405001	9303
00290	Core Facility - SDA 3C Binder 22	Core Facility	30405001	9303
00291	Core Facility - phenolic resin	Core Facility	30405001	9303
00292	Natural Gas Fired Equipment	Natural Gas Fired Equipment	30490003	9303
00293	Wax Layout 	Wax Department	30405001	9303
00294	X-Ray Developer	X-Ray	30405001	9303
00295	Epoxy Resin Adhesive	Core Prep	30405001	9303
00296	Molten Metal Insulation	Foundry	30405001	9303
00300	Dryer and Boiler	Fuel Combustion	30201206	9303
00301	Chopper Gun Application	non-atomized controlled spray	30800723	9303
00302	Clear Coat Resin Application	non-atomized mech. spray	30800723	9303
00303	Hand Resin Application -Molds	Hand lay-up	30800726	9303
00304	Tooling/Edge resin application	Hand lay-up	30800726	9303
00305	Gel Coat Appliation	Spray lay-up	30800718	9303
00306	Misc VOC Use	Misc.	30800799	9303
00307	Boiler	Natural Gas Heating	10300603	9303
00309	KSH 01	Emergency Generator	6597
00310	KSH 02	Emergency Generator	6597
00311	KSH 03	Emergency Generator	6597
00316	60-3	2881 hp ULSD Emergency Generator	20200102	9303
00317	60-4	2881 hp ULSD Emergency Generator	20200102	9303
00318	BLRS	Boilers	6597
00323	WELD MIG	Welding - E308	NA	9303
00324	WELD TIG	Welding - E70S	NA	9303
00325	Metal Fabricating	MILD STEEL	NA	9303
00326	Metal Fabricating	STAINLESS STEEL 	NA	9303
00327	Metal Fabricating	ALUMINUM	NA	9303
00328	Metal Fabricating	INCONEL	NA	9303
00329	Metal Fabricating	TITANIUM	NA	9303
00330	Combustion	PROPANE	NA	9303
00331	Combustion	NATURAL GAS	NA	9303
00332	Stack from booth #1	Painting/Coating	6597
00446	Weld	Welding Operations	6597
00447	Oven	Oven drying	6597
00449	SnPb-EL-1 Tin-Lead electroplating	Stannous & Lead fluoborate	NA	9303
00450	Ni-EL-1 Nickel electroplating	Nickel Sulfamate	NA	9303
00451	Ni-EL-2 Nickel electroplating	Nickel Sulfamate	NA	9303
00452	Copper Electroplating	Copper Sulfate	NA	9303
00453	Propane heaters	Propane usage	3-09-054	9303
00454	Welders	Welding	3-09-054	9303
00456	PSEL	Bread Baking	30203202	9303
00457	Natural Gas - combustion	Ovens	NA	9303
00458	Chromate Conversion Line	Chromate Conversion Tank	30901199	9303
00459	Chromate Conversion Line	Deoxidation Tank	30901102	9303
00460	Natural Gas Fired Furnaces	Natural Gas Fired Furnaces > 2.0 MMBtu	30400199	9303
00461	Aluminum Crucible Furnace	Casting aluminum parts	30400199	9303
00462	Aluminum Reverb Furnace	Aluminum Melting	30400103	9303
00463	Zinc Crucible Furnace	Zinc Melting	30400803	9303
00474	Generator A	DSG Engine	20100102	9303
00475	Generator B	DSG Engine	20100102	9303
00476	Plating Line 1 	Gold Electroplating	30901098	9303
00477	Plating Line 3 	Gold Electroplating	30901098	9303
00478	Kerfing Saws	Mist Eliminator	30903005	9303
00479	CB-VENT-01	Carbon Filter	30102005	9303
00480	DC-1	Dust Collector	30102005	9303
00481	DC-2	Dust Collector	30102005	9303
00482	DC-3	Dust Collector	30102005	9303
00497	B3	Boiler 3 (NG)	1-02-006-02	9303
00498	KILN_H	Kiln (Hemlock)	3-07-008-31 	9303
00499	KILN_DF	Kiln (Douglas Fir)	3-07-008-31	9303
00500	Boilers 1 & 2	B1/B2	10200601	9303
00501	Boiler 3	B3	10200601	9303
00502	Paper Machine 1	PM1	30700401	9303
00503	Paper Machine 2	PM2	30700401	9303
00504	Paper Machine 3	PM3	30700401	9303
00505	Clay Handling System	CH	30504170	9303
00506	Coating	CP	30700407	9303
00507	Wastewater Treatment	WW	30701202	9303
00508	Insert rows above this row!	NA	NA	9303
00521	Flash fire furnace and other units	NG combustion	NA	9303
00522	Alloy processing ( cut off. grinding, polishing, sand blasting and kolene,passivation)	grinding machines, sand blasters, polishers, hand grinders, belt grinders	NA	9303
00523	Alloy processing ( cut off. grinding, polishing, sand blasting and kolene,passivation)	grinding machines, sand blasters, polishers, hand grinders, belt grinders	NA	9303
00533	B-1+2	Boilers 1 and 2. Cleaver Brooks CB LE 800, 33 mmBtu/hr. NG fired only.	10100602	9303
00534	B-3	Boiler 3 Cleaver Brooks CB LE 750, 29.5 mmBtu/hr. NG fired only.	10100602	9303
00535	DK 1-4	Dry Kilns 2 American Wood Dryers, Installed 1998. 2 Wellons Dry Kilns, Steam Heated.	30700830	9303
00536	DK 1-4	Dry Kilns 2 American Wood Dryers, Installed 1998. 2 Wellons Dry Kilns, Steam Heated.	30700830	9303
00537	Boilers	Comfort Heat	NA	9303
00538	Heat Treat Furnaces	Process Heat	NA	9303
00539	Hard Chrome Plating	Hard Chrome Plating	NA	9303
00540	Diamond Segment Manufacturing	Diamond Segment Manufacturing	NA	9303
00555	Casting Production - Cr	Melt Furnaces	NA	9303
00556	Casting Production - Mn	Melt Furnaces	NA	9303
00557	Casting Production - Ni	Melt Furnaces	NA	9303
00558	Finishing & Grinding	NA	NA	9303
00559	Silica Sand Wash	Mold Wash	NA	9303
00560	Olivine Sand Wash	Mold Wash	NA	9303
00561	Heat treat ovens	Propane	NA	9303
00562	Pasting Baghouse	Baghouse for Pasting Line 2, Lead Oxide Storage Tanks, Drum Compactor, and Hoffman Central Vac System	NA	9303
00563	Strip Caster	Strip Casting	NA	9303
00564	Expanded Metal Baghouse	Expanded Metal Line	NA	9303
00565	Expanded Metal Trim Dryer	Expanded Metal Trim Dryer	NA	9303
00566	Automatic Post Building 1	APB 1 & 2 for COS Lines 1 & 2	NA	9303
00567	Automatic Post Building 2	APB 3 & 4 for COS Lines 3 & 4	NA	9303
