"key","Pollutant","2016 Total Emissions (lbs)","2016 Total Uncontrolled Emissions (lbs)","2016 Total Other Emissions (lbs)","Is Heavy Metal"
"26-1876","7,12-Dimethylbenz[a]anthracene","0.009","0.009","0.000","FALSE"
"26-1876","Pyrene","0.003","0.003","0.000","FALSE"
"26-1876","Fluoranthene","0.002","0.002","0.000","FALSE"
"26-1876","Fluorene","0.002","0.002","0.000","FALSE"
"26-1876","Anthracene","0.001","0.001","0.000","FALSE"
"26-1876","Benzo[b]fluoranthene","0.001","0.001","0.000","FALSE"
"26-1876","Benz[a]anthracene","0.001","0.001","0.000","FALSE"
"26-1876","Acenaphthene","0.001","0.001","0.000","FALSE"
"26-1876","Benzo[k]fluoranthene","0.001","0.001","0.000","FALSE"
"26-1876","Indeno[1,2,3-cd]pyrene","0.001","0.001","0.000","FALSE"
"26-1876","3-Methylcholanthrene","0.001","0.001","0.000","FALSE"
"26-1876","Acenaphthylene","0.001","0.001","0.000","FALSE"
"26-1876","Chrysene","0.001","0.001","0.000","FALSE"
"26-1876","Dibenz[a,h]acridine","0.001","0.001","0.000","FALSE"
"26-1876","Benzo[g,h,i]perylene","0.001","0.001","0.000","FALSE"
"26-1876","Benzo[a]pyrene","0.001","0.001","0.000","FALSE"
"26-2025","Total - All Pollutants","1,119.505","1,119.505","0.000","NA"
"26-2025","Hexane","303.469","303.469","0.000","FALSE"
"26-2025","Ammonia","180.160","180.160","0.000","FALSE"
"26-2025","Xylenes (mixed) including:","145.837","145.837","0.000","FALSE"
"26-2025","Toluene","119.170","119.170","0.000","FALSE"
"26-2025","m-Xylene","89.820","89.820","0.000","FALSE"
"26-2025","Methyl ethyl ketone","72.180","72.180","0.000","FALSE"
"26-2025","Ethyl benzene","53.088","53.088","0.000","FALSE"
"26-2025","Benzene","47.358","47.358","0.000","FALSE"
"26-2025","2,2,4-Trimethylpentane","27.860","27.860","0.000","FALSE"
"26-2025","Naphthalene","20.965","20.965","0.000","FALSE"
"26-2025","o-Xylene","20.340","20.340","0.000","FALSE"
"26-2025","Cumene","16.264","16.264","0.000","FALSE"
"26-2025","p-Xylene","10.150","10.150","0.000","FALSE"
"26-2025","Biphenyl","4.524","4.524","0.000","FALSE"
"26-2025","Formaldehyde","4.222","4.222","0.000","FALSE"
"26-2025","Total - Heavy Metals Only","2.215","2.215","0.000","TRUE"
"26-2025","Zinc","1.633","1.633","0.000","TRUE"
"26-2025","Hexamethylene-1,6-diisocyanate","1.137","1.137","0.000","FALSE"
"26-2025","Barium","0.248","0.248","0.000","FALSE"
"26-2025","Acetaldehyde","0.175","0.175","0.000","FALSE"
"26-2025","Acrolein","0.152","0.152","0.000","FALSE"
"26-2025","Hydrogen sulfide","0.151","0.151","0.000","FALSE"
"26-2025","Vanadium (fume or dust)","0.129","0.129","0.000","TRUE"
"26-2025","Nickel","0.118","0.118","0.000","TRUE"
"26-2025","Molybdenum trioxide","0.093","0.093","0.000","TRUE"
"26-2025","Chromium VI","0.079","0.079","0.000","TRUE"
"26-2025","Cadmium","0.062","0.062","0.000","TRUE"
"26-2025","Copper and compounds","0.048","0.048","0.000","TRUE"
"26-2025","Manganese","0.021","0.021","0.000","TRUE"
"26-2025","1,3-Butadiene","0.015","0.015","0.000","FALSE"
"26-2025","Mercury","0.015","0.015","0.000","TRUE"
"26-2025","Arsenic","0.011","0.011","0.000","TRUE"
"26-2025","Cobalt","0.005","0.005","0.000","TRUE"
"26-2025","Selenium","0.001","0.001","0.000","TRUE"
"26-2025","2-Methyl naphthalene","0.001","0.001","0.000","FALSE"
"26-2025","Phenanthrene","0.001","0.001","0.000","FALSE"
"26-2025","7,12-Dimethylbenz[a]anthracene","0.001","0.001","0.000","FALSE"
"26-2025","Beryllium","0.001","0.001","0.000","FALSE"
"26-2025","Pyrene","0.000","0.000","0.000","FALSE"
"26-2025","Fluoranthene","0.000","0.000","0.000","FALSE"
"26-2025","Fluorene","0.000","0.000","0.000","FALSE"
"26-2025","Anthracene","0.000","0.000","0.000","FALSE"
"26-2025","Acenaphthylene","0.000","0.000","0.000","FALSE"
"26-2025","Indeno[1,2,3-cd]pyrene","0.000","0.000","0.000","FALSE"
"26-2025","Benz[a]anthracene","0.000","0.000","0.000","FALSE"
"26-2025","3-Methylcholanthrene","0.000","0.000","0.000","FALSE"
"26-2025","Acenaphthene","0.000","0.000","0.000","FALSE"
"26-2025","Chrysene","0.000","0.000","0.000","FALSE"
"26-2025","Benzo[k]fluoranthene","0.000","0.000","0.000","FALSE"
"26-2025","Benzo[b]fluoranthene","0.000","0.000","0.000","FALSE"
"26-2025","Dibenz[a,h]acridine","0.000","0.000","0.000","FALSE"
"26-2025","Benzo[a]pyrene","0.000","0.000","0.000","FALSE"
"26-2025","Benzo[g,h,i]perylene","0.000","0.000","0.000","FALSE"
"26-2025",NA,"0.000","0.000","0.000","FALSE"
"26-2028","Total - All Pollutants","7,666.389","7,666.389","0.000","NA"
"26-2028","Hexane","2,730.130","2,730.130","0.000","FALSE"
"26-2028","Toluene","1,732.774","1,732.774","0.000","FALSE"
"26-2028","Benzene","1,199.613","1,199.613","0.000","FALSE"
"26-2028","2,2,4-Trimethylpentane","1,066.323","1,066.323","0.000","FALSE"
"26-2028","Xylenes (mixed) including:","666.452","666.452","0.000","FALSE"
"26-2028","Ethyl benzene","133.290","133.290","0.000","FALSE"
"26-2028","Cyclohexane","69.721","69.721","0.000","FALSE"
"26-2028","Naphthalene","66.645","66.645","0.000","FALSE"
"26-2028","Total - Heavy Metals Only","1.442","1.442","0.000","TRUE"
"26-2028","Lead","1.442","1.442","0.000","TRUE"
"26-2028",NA,"0.000","0.000","0.000","FALSE"
