"","company_source_no","company_name","address","total_unfiltered_emissions","total_unfiltered_emissions_heavy_metals_only"
"254","03-0052","Pesznecker Brothers Inc.","15500 SE 102nd Ave , Clackamas, 97015",28.48216111558,4.6832330132
"255","26-2832","Portland State University","1900 SW Fourth Avenue, Portland  , 97207",22.784738,0.146596
"256","03-0061","Sunstone Circuits, LLC","13626 S Freeman Rd., Mulino, 97042",22.42132998,22.42132998
"257","22-0010","Wastequip Manufacturing Company LLC Dba Wastequip Oregon ","33710 Oakville Road, Albany, 97321",20.062614,20.062614
"258","26-0157","EZFlow, LP - Portland Division","3004 North Wygant Street, Portland, 97217",19.698174673,0.05961222
"259","30-0011","Lippert Components, Inc. Plant 27","3700 NW Westgate, Pendleton, 97801",18.74272,18.74272
"260","26-0243","East County Courts","18480 SE Stark Street, Portland, 97223",18.491033304,0.023821164
"261","26-3038","Cascade Corporation","2201 NE 201st, Fairview, 97024",16.6389477328506,0.0529205971412526
"262","24-0010","Fleetwood Homes - Woodburn","2655 Progress Way, Woodburn, 97071",15.6077165,15.6077165
"263","36-0040","Meggitt Polymers & Composites","2010 Lafayette Avenue, McMinnville, 97128",15.0622436873126,0.114323124747307
"264","22-0005","Clayton Albany","2445 Pacific Blvd., SW, Albany, 97321",14.5522431,14.5522431
"265","03-9507","Molalla Gate Station","10405 S. Barnards Road, Molalla, OR, 97038",13.8924009958548,NA
"266","24-0114","M-B COMPANIES, INC.","2490 Ewald Ave. SE, Salem, 97302",12.0204507901754,0.52094693111299
"267","36-0032","Harris Thermal Transfer Products Inc.","615 S. Springbrook Rd., Newberg, 97132",11.5914028,11.5914028
"268","26-9554","Signature Graphics, Inc.","15040 NE Mason St., Portland, 97230",8.5604086218066,0.064973896524
"269","30-0008","Clayton Hermiston","400 West Elm Avenue, Hermiston, 97838",8.4464892,8.4464892
"270","34-0056","Finishing First Inc.","12970 SW Hall Boulevard, Tigard, 97223",7.465187808,0.05666112
"271","22-0006","Palm Harbor Homes - Millersburg","3737 Palm Harbor Drive, Millersburg, 97321",6.6818154,6.6818154
"272","30-0113","Hermiston Generating Plant L.P.","78145 Westland Road, Hermiston, 97838",5.58480449271018,0.00719465167476646
"273","26-3317","Silver Eagle Manufacturing Company","5825 NE Skyport Way , Portland, 97220",5.4912,5.4912
"274","15-0218","CDS Publications, Inc.","2603 South Pacific Highway, Medford, 97501",3.9684731021,0.030120894
"275","10-0008","Oregon Door Company","477 Dillard Gardens Road , Dillard, OR, 97432",3.7533305368,0.028487952
"276","34-0017","Dynic USA Corporation","4750 NE Dawson Creek Drive , Hillsboro, 97124",2.6828485259238,0.020362944132
"277","36-0001","Skyline Corporation","550 Booth Bend Rd., McMinnville, 97128",2.29504,2.29504
"278","07-0013","Biosphere Carbon Group, LLC","3920 NW Lamonta Road, Prineville, 97754",1.1497539312,0.0009944448
"279","06-0028","Allweather Wood ","69015 Hauser Depot Rd, North Bend , 97459",0.840521,0.457897
"280","26-0143","Pierce Pacific Manufacturing Inc.","4424 NE 158th Avenue, Portland, 97230",0.8208936,0.8208936
"281","24-0125","The Trading Company","2785 N. Front St., Woodburn, 97071",0.644,0.644
"282","03-9517","AB Mauri Baking Solutions","26994 SW 95th Avenue, Wilsonville, 97070",0.63042,NA
"283","34-0107","Pioneer metal Finishing, LLC.","19005 SW 125th Ct., Tualatin, 97062-7380",0.431244345,0.431209605
